,job_title,frequency,job_category
48252,Field Worker,6,Unclassified
73735,Sales Consultant,6,sales assistant
46296,Ambassador ,6,brand promoter
47958,ITE,6,Unclassified
50525,Teaching,6,tutor
42714,Cashier,6,cashier
123647,Security officer,6,security
8753,Service Consultant ,6,advisers/consultants
69113,Supervisor,6,manager
3152,Teachers assistant ,6,tutor
50650,Babysitting,6,childcare
2472,Teaching assistant,6,tutor
6091,Educational Assistant,6,education assistant
50574,Housekeeper ,5,cleaner
50581,Child minder,5,childcare
5215,Fashion Consultant ,5,advisers/consultants
128993,Electrician,5,maintenance
153333,Educational Assistant,5,education assistant
129112,Grass cutting,5,Unclassified
129080,Construction worker,5,construction
50680,Plumber ,5,maintenance
50670,General school assistant ,5,education assistant
126988,Facilitator,5,facilitator
4249,Cashier,5,cashier
50688,Sales ,5,sales assistant
10498,Fashion consultant ,5,advisers/consultants
3200,Till Packer,5,cashier
7335,General school assistant ,5,education assistant
50652,General School Assistant ,5,education assistant
4582,Security officer ,5,security
123206,Cashier,5,cashier
44012,Educators Assistant,5,education assistant
42183,Sales representative ,5,sales assistant
83404,Teacher's assistant ,5,tutor
50725,Gardening ,5,Unclassified
73524,Education assistant ,5,education assistant
73898,Assistant Teacher ,5,tutor
10533,none,5,Unclassified
43549,Cashier ,5,cashier
128978,Mechanic,5,maintenance
51232,Teacher Assistant,5,tutor
232576,Financial Advisor ,5,advisers/consultants
51213,Welder,5,maintenance
121222,General Assistant,5,education assistant
78467,EDUCATION ASSISTANT,5,education assistant
51184,Painter,5,maintenance
7708,Cashier,5,cashier
42538,Cashier ,5,cashier
73654,Store associate,5,sales assistant
42549,Security officer,5,security
45932,Education Assistant ,5,education assistant
43446,Bus Conductor ,5,bus conductor
44468,Financial Advisor,5,advisers/consultants
73231,Data capture,5,data capturer
51098,Bus conductor,5,bus conductor
4449,Education assistance ,5,education assistant
4632,Intern,5,intern
47965,Education assistant ,5,education assistant
85977,General worker,5,general worker
74038,Cashier,5,cashier
6311,Teachers Assistant,5,tutor
51056,General Assistant,5,education assistant
51230,Sales Agent,5,sales assistant
160065,General Assistant,5,education assistant
51024,Learnership,5,learnership
51245,General,5,Unclassified
69164,Cleaner,5,cleaner
74114,Teachers assistant,5,tutor
78531,Educator assistant,5,education assistant
46619,Cashier ,5,cashier
77691,General school assistance ,5,education assistant
74088,Team leader,5,Unclassified
69102,General assistant,5,education assistant
276724,Sales man,5,sales assistant
122666,Till packer,5,cashier
71594,Education assistant ,5,education assistant
44230,Cashier,5,cashier
69074,Assistant teacher,5,tutor
43737,General worker,5,general worker
6432,Replenisher,5,Unclassified
43871,Fieldwork Supervisor,5,manager
3746,Teachers assistance ,5,tutor
69030,Education assistant ,5,education assistant
6848,Screening ,5,Unclassified
69019,Educator Assistant,5,education assistant
51266,Educator assistant,5,education assistant
84964,Groundsman,5,Unclassified
6600,Cashier ,5,cashier
5044,P27,5,Unclassified
129293,Baker,5,food preparation
44594,Waiter,5,waitron
73359,Chef,5,food preparation
7511,Cashier ,5,cashier
128854,Cooker,5,food preparation
50867,Housekeeper,5,cleaner
46213,Teacher assistant ,5,tutor
46741,Merchandiser,5,stockroom assistant
162718,Financial advisor,5,advisers/consultants
50837,Supervisor ,5,manager
86853,Teacher Assistant,5,tutor
50817,Domestic,5,cleaner
5125,Educator's Assistant,5,education assistant
46351,General Assistant,5,education assistant
50797,Housekeeping,5,cleaner
4169,Educator Assistant ,5,education assistant
121403,Fieldworker,5,Unclassified
7418,Cashier ,5,cashier
42347,None,5,No description
